country,ym,con12
United States,1982m11,
United States,1982m12,7.398342
United States,1983m1,6.637258
United States,1983m2,7.56423
United States,1983m3,7.101085
United States,1983m4,6.324636
United States,1983m5,7.309098
United States,1983m6,6.785248
United States,1983m7,8.830385
United States,1983m8,7.288722
United States,1983m9,5.775144
United States,1983m10,7.165153
United States,1983m11,7.107132
United States,1983m12,8.993351
United States,1988m1,.
United States,1988m2,8.55998
United States,1988m3,7.18604
United States,1988m4,7.964162
United States,1988m5,9.308407
United States,1988m6,9.120872
United States,1988m7,8.899834
United States,1988m8,7.74439
United States,1988m9,5.309988
United States,1988m10,5.19055
United States,1988m11,7.648432
United States,1988m12,8.410095
United States,1989m1,5.842325
United States,1989m2,6.897919
United States,1989m3,4.950184
United States,1989m4,8.120857
United States,1989m5,5.659643
United States,1989m6,9.05352
United States,1989m7,6.832258
United States,1989m8,5.679261
United States,1989m9,8.355513
United States,1989m10,5.703001
United States,1989m11,7.844309
United States,1989m12,8.933399
United States,1990m1,6.998108
United States,1990m2,7.6091
United States,1990m3,5.501416
United States,1990m4,5.74409
United States,1990m5,6.843156
United States,1990m6,6.630162
United States,1990m7,6.117576
United States,1990m8,9.83765
United States,1990m9,8.883944
United States,1990m10,6.818779
United States,1990m11,4.412749
United States,1990m12,8.993511
United States,1991m1,7.002018
United States,1991m2,9.035292
United States,1991m3,8.701139
United States,1991m4,6.48364
United States,1991m5,4.477358
United States,1991m6,6.231626
United States,1991m7,8.065805
United States,1991m8,5.771738
United States,1991m9,7.572923
United States,1991m10,9.423952
United States,1991m11,7.511812
United States,1991m12,5.592776
United States,1992m1,7.051905
United States,1992m2,6.44536
United States,1992m3,6.554387
United States,1992m4,7.370321
United States,1992m5,4.814883
United States,1992m6,7.538339
United States,1992m7,4.91965
United States,1992m8,7.217713
United States,1992m9,6.673158
United States,1992m10,8.623268
United States,1992m11,7.703051
United States,1992m12,5.45948
United States,1993m1,7.976564
United States,1993m2,7.509647
United States,1993m3,7.367961
United States,1993m4,7.898647
United States,1993m5,5.827219
United States,1993m6,6.577029
United States,1993m7,6.331043
United States,1993m8,5.905801
United States,1993m9,10.69334
United States,1993m10,6.826192
United States,1993m11,8.381395
United States,1993m12,5.992997
United States,1994m1,5.092267
United States,1994m2,8.828735
United States,1994m3,6.738029
United States,1994m4,9.306494
United States,1994m5,9.197037
United States,1994m6,9.038807
United States,1994m7,9.434053
United States,1994m8,4.511463
United States,1994m9,6.339832
United States,1994m10,9.059586
United States,1994m11,7.109497
United States,1994m12,7.243758
United States,1995m1,6.797256
United States,1995m2,6.238812
United States,1995m3,5.760868
United States,1995m4,9.091957
United States,1995m5,6.252477
United States,1995m6,6.599179
United States,1995m7,5.889134
United States,1995m8,7.99849
United States,1995m9,7.479125
United States,1995m10,6.608017
United States,1995m11,5.952227
United States,1995m12,7.123598
United States,1996m1,9.067575
United States,1996m2,6.24461
United States,1996m3,7.243302
United States,1996m4,7.700418
United States,1996m5,5.401959
United States,1996m6,8.213829
United States,1996m7,6.357694
United States,1996m8,5.420621
United States,1996m9,7.041841
United States,1996m10,6.489075
United States,1996m11,8.157808
United States,1996m12,6.315133
United States,1997m1,9.60891
United States,1997m2,7.95555
United States,1997m3,5.434555
United States,1997m4,8.348194
United States,1997m5,3.340286
United States,1997m6,7.04499
United States,1997m7,7.225253
United States,1997m8,7.395041
United States,1997m9,4.825861
United States,1997m10,4.792898
United States,1997m11,8.725344
United States,1997m12,8.007877
United States,1998m1,7.93918
United States,1998m2,7.523935
United States,1998m3,8.698254
United States,1998m4,9.474283
United States,1998m5,7.987568
United States,1998m6,7.756027
United States,1998m7,8.072971
United States,1998m8,7.97122
United States,1998m9,7.103433
United States,1998m10,4.3956
United States,1998m11,10.5853
United States,1998m12,6.681505
United States,1999m1,10.00258
United States,1999m2,10.29966
United States,1999m3,9.145956
United States,1999m4,7.400845
